Medicine Name ,Barcode No. ,Use
chymoral forte,8901611400819,Pain relief
Combiflam,8901083032310,Pain relief and Fever
jardiance,4048846011268,"Nausea,Frequent urge to urinate and Increased thirst and Urinary tract infection and Hypoglycemia (low blood glucose level),"
clavam 625,8902269000598,Bacterial infections
cefix200,8901107025618,Bacterial infections
cyclopam,8906019645848,Abdominal pain
augmentin 625,8901148240285,Vomiting and Nausea andDiarrhea
allegra 120mg,8901083012114,Allergic skin conditions
aciloc 150,8901245683833,Heartburn and Gastroesophageal reflux disease (Acid reflux)
arkamin,8901245683833,Hypertension (high blood pressure)
allegra 180mg,8901083012121,Allergic conditions
arkamin,8901315306126,Hypertension (high blood pressure)
aciloc rd,8904194000407,Gastroesophageal reflux disease (Acid reflux)
almox 500,8902269263795,Bacterial infections
brufen 400,5060013940118,Pain relief and Fever
brilinta 90mg,5000456010023,Prevention of heart attack and stroke
betaloc 25mg,8902245030298,Hypertension (high blood pressure) and Angina (heart-related chest pain) and Arrhythmia and Heart attack and Migraine
kenacort 4mg,8901117241732,Osteoarthritis and Rheumatoid arthritis and Severe allergic reactions
kcor 5,834338654011,Angina (heart-related chest pain)
hetrazan 100,6091403215058,Filariasis
headset,8714497901374,Migraine
hp Kit,8904155710888,Peptic ulcer disease
hepamerz,8906019644551,Indigestion
histafreem,8901067049815,Sneezing and runny nose due to allergies
hyocimaxs,8907661002560,Pain relief and Irritable bowel syndrome
heptral,8906019641680,Liver disease
hyponatO 15,8904194004092,Low levels of sodium in the blood
hifenac,8904194001541,Pain relief
histafree,8901296037432,Allergic skin conditions
histafree120,8901296037432,Allergic skin conditions
ecosprin 75,8904194005495,Prevention of heart attack and stroke
enzoflam,8902269001205,Pain relief
eoshine mr,8904194754832,Pain due to muscle spasm
eliquis 2.5mg,8904037415580,Treatment and prevention of and Blood clots
ecosprin gold,8901296043202,Heart attack
eliquis 5mg,8904037415597,Treatment and prevention of and Blood clots
ibset,0,Nausea and Vomiting
itmac 200,0,Fungal infections
inapure 5,0,"Angina (heart-related chest pain),Heart failure"
idrofos 150,0,Osteoporosis
istavel,8908001995907,Type 2 diabetes mellitus
jointace dn,0,Osteoarthritis
jardiance,0,Type 2 diabetes mellitus
jardiances,0,Type 2 diabetes mellitus
isolazine tablet,0,
muzika,0,treatment of heart failure
becozinc,8901148250062,daily consuption of vitamin c specially recommended for covid time
becozing,8901148250062,daily consuption of vitamin c specially recommended for covid time
